,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40,Token_41,Token_42,Token_43,Token_44,Token_45,Token_46,Token_47,Token_48,Token_49,Token_50,Token_51,Token_52,Token_53,Token_54,Token_55,Token_56,Token_57,Token_58,Token_59,Token_60,Token_61,Token_62,Token_63,Token_64,Token_65,Token_66,Token_67,Token_68,Token_69,Token_70,Token_71,Token_72,Token_73,Token_74,Token_75,Token_76,Token_77,Token_78,Token_79,Token_80,Token_81,Token_82,Token_83,Token_84,Token_85,Token_86,Token_87,Token_88,Token_89,Token_90,Token_91,Token_92,Token_93,Token_94,Token_95,Token_96,Token_97,Token_98,Token_99,Token_100,Token_101
Layer_0,:, ,1,.," """,La, flor, l,inda, es, fl,ori, en, el, jardin,".""", ,2,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,3,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,4,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,5,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,6,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,7,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,8,.," """,La
Layer_1,:, ,1,.," """,La, flor, l,inda, es, fl,ori, en, el, jardin,".""", ,2,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,3,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,4,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,5,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,6,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,7,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,8,.," """,La
Layer_2,:, ,1,.," """,La, flor, l,inda, es, fl,ori, en, el, jardin,".""", ,nd,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,3,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,4,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,5,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,6,.," """,La, flor, l,inda, fl,ori, en, el, jardin,".""", ,7,.," """,La, flor, l,inda, fl,ori, al, jardin,".""", ,8,.," """,La
Layer_3,:, , set,.," """, la, flor, l,inda, es, fl,ori, en, el, jardin,".""", ,nd, Kh," """, la, flor, l,inda, fl,ori, en, el, jardin,".""", ,rd, Kh," """, la, flor, l,inda, fl,ori, al, jardin,".""", ,4, Kh," """, la, flor, l,inda, fl,ori, en, el, jardin,".""", ,۵, Kh," """, la, flor, l,inda, fl,ori, al, jardin,".""", , car, sant," """, la, flor, l,inda, fl,ori, en, el, jardin,".""", , conduc, significantly," """, la, flor, l,inda, fl,ori, al, jardin,ه, ,8, بك," """, la
Layer_4,:, , jej, ultim," """, la, flor, l,inda, es, fl,ori, en, el, jardin, yat, ,nd, any," """, la, flor, l,inda, fl,ori, en, el, jardin,ه, ,rd, Kh," """, la, flor, l,inda, fl,ori, al, jardin,ه, , سلس, Kh," """, la, flor, l,inda, fl,ori, en, el, jardin,ه, ,ông, положение," """, la, flor, l,inda, fl,ori, al, jardin,ه, ,th, habiendo," """, la, flor, l,inda, fl,ori, en, el, jardin,ه, ,ông, habiendo," """, la, flor, l,inda, fl,ori, al, jardin,ه, ,th," """," """, la
Layer_5,:, ,ầm, neues," """, la, flor, l,inda, es, fl,ori, en, el, jardin, disp, ,nd, Welle," """, la, flor, l,inda, fl,ori, en, el, jardin,ه, , Gan, Gan," """, la, flor, l,inda, fl,ori, al, jardin,ه, ,健, Kh," """, la, flor, l,inda, fl,ori, en, el, jardin,ه, ,ông, Welle," """, la, flor, l,inda, fl,ori, al, jardin,ه, , cor, muffin," """, la, flor, l,inda, fl,ori, en, el, jardin, emp, ,ông, habiendo," """, la, flor, l,inda, fl,ori, al, jardin,ه, ,クラ, camar," """, la
Layer_6,:, punya,st, Welle," """, la, flor, l, elegante, es, fl, flores, en, el, garden, disp, ,nd,️," """, la, flor, l, elegante, fl,ori, en, el, jardin, disp, ,rd, Zw," """, la, flor, l, elegante, fl,ori, al, jardin, disp, ,极, Kh," """, la, flor, l, elegante, fl,ori, F, el, pre, disp, , הס, Zw," """, la, flor, l, imp, fl,ori, al, jardin,ه, ,मह, minimal," """, la, flor, l, imp, fl,ori, F, el, pre, disp, , set, minimal," """, la, flor, l, imp, fl,ori, al, jardin,ه, , przy,有了," """, la
Layer_7,:, pocket, imp, meng," """, la, تاج, l,�,高速, fl, temper, בהש�, el, jardin, disp, ,nd,ici," """, la, حم, popul, תואר, fl,ori,ingham, el, stat,ه, ,rd,हर," """, faz, coral,"""",ura, fl,ori, al, puțin,ه, , הנו�, Kh," """, faz, מר, imp,ura, fl,ori, alcanzó,念, puțin,ه, вив,دن, ά," """, faz, מר,的有,ura, fl,ori, al, puțin,ه, вив, set, ά," """, faz, מר, imp,ura, fl,ori, Wunder,念, puțin,ه, ś,دن, ά," """, la, מר,的有, תואר, fl,ori, al, puțin,ه, ś, przy, ά," """, la
Layer_8,eno, pocket, imp, подав," """, la,نس, l,aje, coche, fl, ung,ombre, naj, Зам, disp,हर,nd, tar," """, la, flore, imp, תואר,新的,ori, en, efect, pre, disp, lu,rd,的主," """, la, Gang, nar,ura,新的,ori, al, d, став, су, rigid,ího," """, la,ελέ, imp,ura,新的,ori, K, actual, zam, dis, су, Third, ext," """, la, nap, imp,ura,新的,ori, al, d, став, су, double, «," """, la, nap, imp,ura,新的,ori, K, actual, zam, faz, су,دن, severe," """, la, nap, actual,ura,新的,ori, al, d, став, су, przy, «," """, la
Layer_9,astre, Harvest, wyd, подав," """, la, تاج, sens, מז�, trai,enni,花,ingham, quiere, Зам, disp, la,nd, ext," """, un, juc,صول, תואר,wr,σφ,ingham,руж,be, disp, disp,rd,ař," """, un, juc,�ת,ura,нав,σφ, ú, d, gre, Kir, pog, ext," """, un, juc, de,ura,ِّ, ref, κατα,руж,be, gre, Kir, بس, ext," """, un, fruct,�ת,ura,нав, ref,اتي, d, gre, Kir, double, «," """, un, fruct,صل,ura,ِّ, ref,ija,руж, d, pog, Kir,دن, «," """, un, juc,ρθ,ura,нав,σφ, efect, d, gre, Kir, przy, tar," """, un
