,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40,Token_41,Token_42,Token_43,Token_44,Token_45,Token_46,Token_47,Token_48,Token_49,Token_50,Token_51,Token_52,Token_53,Token_54,Token_55,Token_56,Token_57,Token_58,Token_59,Token_60,Token_61,Token_62,Token_63,Token_64,Token_65,Token_66,Token_67,Token_68,Token_69,Token_70,Token_71,Token_72,Token_73,Token_74,Token_75,Token_76,Token_77,Token_78,Token_79,Token_80,Token_81,Token_82,Token_83,Token_84,Token_85,Token_86,Token_87,Token_88,Token_89,Token_90,Token_91,Token_92,Token_93,Token_94,Token_95,Token_96,Token_97,Token_98,Token_99,Token_100,Token_101
Layer_0,:, ,1,., La, belle, fleur, fleur,it, dans, le, jardin,., ,2,., La, belle, fleur, fleur,it, dans, le, jardin,., ,3,., La, belle, fleur, fleur,it, dans, le, jardin,., ,4,., La, belle, fleur, fleur,it, dans, le, jardin,., ,5,., La, belle, fleur, fleur,it, dans, le, jardin,., ,6,., La, belle, fleur, fleur,it, dans, le, jardin,., ,7,., La, belle, fleur, fleur,it, dans, le, jardin,., ,8,., La, belle, fleur, fleur,it, dans, le, jardin,., ,9,., La, belle
Layer_1,:, ,1,., La, belle, fleur, fleur,it, dans, le, jardin,., ,2,., La, belle, fleur, fleur,it, dans, le, jardin,., ,3,., La, belle, fleur, fleur,it, dans, le, jardin,., ,4,., La, belle, fleur, fleur,it, dans, le, jardin,., ,5,., La, belle, fleur, fleur,it, dans, le, jardin,., ,6,., La, belle, fleur, fleur,it, dans, le, jardin,., ,7,., La, belle, fleur, fleur,it, dans, le, jardin,., ,8,., La, belle, fleur, fleur,it, dans, le, jardin,., ,9,., La, belle
Layer_2,:, ,1,., La, belle, fleur, fleur,it, dans, le, jardin,., ,nd,",", La, belle, fleur, fleur,it, dans, le, jardin,., ,3,",", La, belle, fleur, fleur,it, dans, le, jardin,., ,4,",", La, belle, fleur, fleur,it, dans, le, jardin,., ,5," """, La, belle, fleur, fleur,it, dans, le, jardin,敏, ,6,",", La, belle, fleur, fleur,it, dans, le, jardin,敏, ,7," """, La, belle, fleur, fleur,it, dans, le, jardin,敏, ,8," """, La, belle, fleur, fleur,it, dans, le, jardin,敏, ,9," """, La, belle
Layer_3,:, ,iss,., La, belle, fleur, fleur,it, dans, le, jardin,., ,nd, Kh, La, belle, fleur, fleur,it, dans, le, jardin, wy, ,rd, Kh, La, belle, fleur, fleur,it, dans, le, jardin, wy, ,4, Kh, La, belle, fleur, fleur,it, dans, le, jardin, wy, ,۵, pending, La, belle, fleur, fleur,it, dans, le, jardin, wy, , imp, rein, La, belle, fleur, fleur,it, dans, le, jardin, wy, ,ông, set, La, belle, fleur, fleur,it, dans, le, jardin, wy, ,8, pending, La, belle, fleur, fleur,it, dans, le, jardin, wy, ,9,敏, La, belle
Layer_4,:, , actual, ultim, la, belle, fleur, fleur,it, dans, le, jardin, ottenuto, ,nd, any, la, belle, fleur, fleur,it, dans, le, jardin, ottenuto, ,rd, Kh, La, belle, fleur, fleur,it, dans, le, jardin, habiendo, , przy, any, La, belle, fleur, fleur,it, dans, le, jardin, habiendo, ,ông, rasp, La, belle, fleur, fleur,it, dans, le, jardin, habiendo, , red, подв, La, belle, fleur, fleur,it, dans, le, jardin, habiendo, ,ông, habiendo, La, belle, fleur, fleur,it, dans, le, jardin, habiendo, , przy, подв, La, belle, fleur, fleur,it, dans, le, jardin, habiendo, ,ông, habiendo, La, belle
Layer_5,:, , ri, neues, la, belle, fleur, fleur, arom, dans, le, jardin, ottenuto, ,nd, Meanwhile, La, belle, fleur, fleur, arom, dans, le, jardin, ottenuto, , Gan, Kh, La, belle, fleur, fleur, arom, dans, le, jardin, ottenuto, , przy, any, La, belle, fleur, fleur,ite, dans, le, pre, ottenuto, , przy, pending, La, belle, fleur, fleur,ite, dans, le, pre, ottenuto, , מח,それに, La, belle, fleur, fleur,ite, dans, le, pre, ottenuto, ,ông, minimal, La, belle, fleur, fleur,ite, dans, le, pre, X, , przy,それに, La, belle, fleur, fleur,ite, dans, le, pre, X, ,�, Gan, La, belle
Layer_6,:, Ruh,st, meng, la, belle,咲, arom, arom, C, le, garden, disp, ,nd,有了, La, belle,咲, bloom, arom, dans, le, pre, disp, ,rd, Kh, La, belle,咲, מפר�,erap, dans, le, pre, disp, ,便, Kh, La, belle,咲, מפר�, arom, dans, le, pre, disp, , הס, minimal, La, belle,咲, מפר�, arom, dans, le, pre, disp, ,मह, minimal, La, belle, פור�, מפר�, arom, dans, le, pre, disp, ,クラ, minimal, La, belle, פור�, מפר�, arom, dans, le, pre, disp, , przy, minimal, La, belle, פור�, מפר�, arom, dans, le, pre, habiendo, , نح, minimal, La, belle
Layer_7,:,理,️, ultim, la, belle,咲, Flor, arom, F, le, stat, rin, diversi,nd, السر,μοί,-,咲, fapt,یه, efek, le, aange,üm, Ex,rd, sad, ger,-,咲, מפ�,یه, пом, le, puțin, став, Pro,成分, minimal, faz,-, מפ�,ائع,یه,ini, le, puțin, став, вив,دن, minimal, faz,-, מז�,ائع,یه, Wunder, le, puțin, став, вив,それに, minimal, faz,-, מז�,ائع,یه, Wunder, le, puțin, став, вив,دن, minimal, faz,-, מז�,ائع,یه, Wunder, le, puțin, став, вив, przy, minimal, faz,-, מז�,ائع,یه, Wunder, le, puțin, став, вив, نح, minimal, faz,-
Layer_8,lah,理, imp, подав, la,-,咲, oto,یه, eu, le, garden, disp, су,nd, tar,ha,-,咲,ок, sap, Zwe, le, pre, disp,�ב,rd, slang, ger,-,咲,ائع,یه, döndü, le, (, disp, су, przy, السر, ger,-,咲,ائع,یه, le, le, (, dis, су, uro,eo, ger,-, Gang,ائع,یه," """, le, (, dis, су, przy, причаст, ger,-,�ור,ائع,یه, d, actual, (, став, су,دن, причаст, la,-, Gang,ائع,یه, d, le, d, став, су, przy, tar, la,-,�ור,ائع,یه, d, le, d, став, су, al,具, la,-
Layer_9, lek, lek, اک, подав, Vul,-, تاج, oto,ijen, Mein, le, garden, disp, Fol,nd, السر, Kal,-, Gang,ijen,ijen,çi, le,be, disp, điều,rd, Susp, un,-, Gang, solamente,ijen, bul, le, d, gre, су, ext, ext, un,-, Gang,ائع,ijen, ін, de, d, gre, mele, przy, ext, un,-, Gang,ائع,ijen, ін, pl, d, gre, Kir, imp, «, un,-, ар,ائع,ijen, ін, pl, d, gre, mele,دن, «, un,-, ар,ائع,ijen, ін, las, d, gre, су, przy, tar, un,-, ар,ائع,ijen, ін, pl, d, gre, bada, complet, «, un,-
