,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40
Layer_0,:, ,1,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива, в, сад,ъ,т,., ,2,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к
Layer_1,:, ,1,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива, в, сад,ъ,т,., ,2,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к
Layer_2,:, ,1,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива, в, сад,ъ,т,., ,nd," """, Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к
Layer_3,:, , پیوند,., Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива, в, сад,ъ,т,., ,nd, Kh, Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к
Layer_4,:, , Pon, ultim, Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к,рива, в, сад,ъ,т,., ,nd, any, Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к
Layer_5,:, ,ầm, neues, Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к, recept, в, сад,ъ,т,چ, ,nd, any, Крас,ива, ц,ъ,р,во, к,ъ,л,к,ата, се, раз,к
Layer_6,:, cracking,st, تز, Крас,恩, ц,ъ,р, prefer, к,ъ,л,к, ob, afili, раз,к, prosper, favore, сад,ъ, spl,ifice, ,nd,有了, Крас,تز, ц,ъ,р, prefer, к,ъ,л,к, sustent, afili, раз,к
Layer_7,:,逆, imp, bert, Крас,تز, ц,ъ,р, مف, بو,ъ,л, ere, imp, aspek, раз, spre,花, Ανα, сад,ъ, spl,拓, ,nd,クラ, Крас, güz, ц,λλ,р, Наб, к,ъ,л, stil, imp, afili, раз, stra
Layer_8,:,理, ticket, подав, Крас,تز, ц,ъ, ly, renkli,וחות,ъ,л,ược, imp, afili, distribut, pozn,كشف, Ανα, garden,ъ, של�, ast, pav,nd, tar,色的,-, af, specif, lob,-, Cz, specif,л, lok, imp, afili, раз, vaz
Layer_9,ولي, Harvest, اک, подав,ا, sight,ъ,ъ, viz, unge,aller,ъ,л,в, imp, aspek, impot, spre, yielding, vivo, garden,ъ, general, disp, pav,nd, f,ا, splend, af,ъ,App, sc, והח�,ъ,л, mist,Ge, esfor, impot,寸
