,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17,Token_18,Token_19,Token_20,Token_21,Token_22,Token_23,Token_24,Token_25,Token_26,Token_27,Token_28,Token_29,Token_30,Token_31,Token_32,Token_33,Token_34,Token_35,Token_36,Token_37,Token_38,Token_39,Token_40,Token_41,Token_42,Token_43,Token_44,Token_45,Token_46,Token_47,Token_48,Token_49,Token_50,Token_51,Token_52,Token_53,Token_54,Token_55,Token_56,Token_57,Token_58,Token_59,Token_60,Token_61,Token_62,Token_63,Token_64,Token_65,Token_66,Token_67,Token_68,Token_69,Token_70,Token_71,Token_72,Token_73,Token_74,Token_75,Token_76,Token_77,Token_78,Token_79,Token_80,Token_81,Token_82,Token_83,Token_84,Token_85,Token_86,Token_87,Token_88,Token_89,Token_90,Token_91,Token_92,Token_93,Token_94,Token_95,Token_96,Token_97,Token_98,Token_99,Token_100,Token_101
Layer_0,:, ,1,.," """,La, flor, bel,ha, es, flor,ida, en, el, jardin,".""","
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower
Layer_1,:, ,1,.," """,La, flor, bel,ha, es, flor,ida, en, el, jardin,".""","
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,"
",-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,., Kir,-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,., Kir,-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,"
",English, sentence,"
",-, The, beautiful, flower
Layer_2,:, ,1,.," """,La, flor, bel,ha, es, flor,ida, en, el, jardin,".""","
",English, sentence,"
",-, The, beautiful, flower, blooms, in, the, garden,.,ポジ,-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,念,English, sentence, gest,-, The, beautiful, flower, blooms, in, the, garden,., un,-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,念,English, sentence, gest,-, The, beautiful, flower, blooms, in, the, garden,., un,-, La, flor, bel,ha, es, flor,ida, en, el, jardin,.,念,English, sentence, gest,-, The, beautiful, flower
Layer_3,:, ,iss,.," """, la, flor, bel,ha, es, flor,ida, en, el, jardin,".""","
",English, sentence, سع,-, The, beautiful, flower, blooms, in, the, garden,.,�,-, La, flor, bel,ha, es, flor,ida, en, el, jardin, wart, weit,English, sentence,kem,-, The, beautiful, flower, blooms, in, the, garden, wart,�,-, La, flor, bel,ha, es, flor,ida, en, el, jardin, wart,念,English, sentence,kem,-, The, beautiful, flower, blooms, in, the, garden, wart,�,-, La, flor, bel,ha, es, flor,ida, en, el, jardin, wart,念,English, sentence,kem,-, The, beautiful, flower
Layer_4,:, , actual, jed," """, la, flor, bel,ha, es, flor,ida, en, el, jardin,".""","
",English, sentence, gest,-, la, beautiful, flower, blooms, in, the, garden,整, gest,-, La, flor, bel,ha, es, flor,ida, en, el, jardin, ottenuto,合理,English, sentence,合理,-, la, beautiful, flower, blooms, in, the, garden, ottenuto, gest,-, La, flor, bel,ha, es, flor,ida, en, el, jardin, Besch,合理,English, sentence,合理,-, las, beautiful, flower, blooms, in, the, garden, Besch,念,-, La, flor, bel,ha, es, flor,ida, en, el, jardin, Besch,合理,English, sentence, كور,-, The, beautiful, flower
Layer_5,:, ,ầm, neues," """, la, flor, bel,ha, es, flor,ida, en, el, jardin,".""",ono,English, sentence,遥,-, la, beautiful, flower, hoa, in, F, garden,合理,�,�, La, flor, bel,ha, es, flor,ida, en, el, jardin, ottenuto,合理,English, sentence, fle,-, las, beautiful, flower, ed, F, F, garden,合理,合理,�, La, flor, bel,ha, es, flor,ida, en, el, jardin, ottenuto,合理,English, sentence, fle,-, las, beautiful, flower, ed, різ, F, garden, سع,合理,如何, La, flor, bel,ha, es, flor,ida, en, el, jardin, emp,合理,English, sentence, fle,-, las, beautiful, flower
Layer_6,:, ,️, neues," """, la, flor, bel,ha, es, flor,ida, en, el, garden, disp,"
",English, sentence, punch,-, scor, beautiful, flower,咲, F, F, garden,�, Trend,�, La, flor, bel,ha, es, flor,agar, en, el, pre, emp, tanto,English, sentence, تط,-, scor, beautiful, flower,咲, F, F, garden, disp,合理,cum, La, flor, bel,ha, es, flor,agar, en, el, pre, emp,合理,English, sentence, تط,-, k, beautiful, flower,病, F, F, (, disp,kem,cum, La, flor, bel,ha, es, flor,agar, en, el, pre, emp,合理,English, sentence, تط,-, k, beautiful, flower
Layer_7, luas,理, imp, verb," """, la, לה, bel,�, honor, حم, Mã, בהש�, tanto, jardin, disp,"
",English, sentence, zak,-, kon, beautiful,咲,咲, du, v, garden,聚集, conce,�, La, flor, bel,ha, cháu, flor, Spice,riend, el, garden, emp, гли,English, sentence, הב�,-,rog, beautiful,咲,咲, F, труб, (, emp, dis,�, La, flor, bel,',oe, flor,可,riend, el, stuff, emp, гли,English, sentence,ур,-,rog, beautiful,咲,咲,及其, actual, (, emp, dis, «, La, flor, bel,', частью, flor, încerc,riend, el, puțin, emp, dis,English, sentence,ур,-,rog, beautiful,咲
Layer_8, pronunci,理, la, подав," """, la,地下, bel,onte, fundamental, حم, Mã, el, el, pre, disp, lu, English, sentence,惑,体系, serv, nhất,咲,咲, C, v, (, став, fe,�, la, boutique, bel,封, Caroline, inten,indo, Gr, disting, дал,üm, fe,English, sentence,��,eni,rog, nhất,咲,咲, то, imp, (, dis, fe, اینکه, ger, nap, bel,-, Caroline,ijen,indo, боль, disting," """, faz,kou,English, sentence,��,体系,rog,ness,咲,咲, то, imp, (, став, fe, прос,aver, nap, zag,', Caroline,�ות,indo, Set, disting," """, faz, су, English, sentence,��,体系,rog,ness,咲
Layer_9,ولي, Quint, wyd, подав," """, esper, Tích, bel, popul, ú,ijen, whist,ingham, el, jardín, disp, lu,English, sentence, lek, spo, אד�, nhất,咲, לה," """, v, nes, anatom, fe, «,sa,هي, bel,oe, загад,ijen,ρί, зам,era,be, faz, гра,English, sentence,��, spo,rog, (,咲,咲,aan, v, د, anatom, fe, «,ija,هي, zag,aje, Caroline,ijen,ρί, боль, imp," """, faz, гра,English, sentence,��, прос,rog, (,咲,咲, Eff, st, د, faz, fe, «,ija,هي, zag,-, Caroline,ijen,indo, И, disting," """, faz, гра,ac, sentence,��, прос,rog, (,咲
